'      號
5.u;       球藝
5.ur           球莖
5.uv   球菌
5.v  王族
5.vg       球季
5.w            玉山
5.wf       玉峰
5.xc         玉池
5.z  球心
5/       珍
5/1e      玉竹一街
5/2e  玉竹二街
5/3e     玉竹三街
5/5/      瑟瑟
5/5i   珍珠
5/5q       珍玩
5/6ax  五筆輸入法
5/6p        珍聞
5/7      璁
5/78           珍異
5/7z      璁
5/9            瑞竹路
5/;   瑰
5/a;  珍禽
5/d    碧
5/d        珀
5/d        瑔
5/d       瓅
5/di    瓅
5/dq         碧
5/dx  瑔
5/e   玉竹街
5/gp         珍攝
5/i    瓅
5/ie         珍本
5/jx           珍愛
5/kq      珍視
5/lc            珍妮
5/m8           珍寶
5/mz       碧血丹心
5/o8       珍貴
5/oi        珍味
5/oo    珍品
5/q          碧
5/st      瑟索
5/su            碧血黃花
5/td      瑟縮
5/u5 珍藏
5/uf           珍羞
5/vf        珍重
5/vj    珍奇
5/vk  玉皇大帝
5/x       瑔
5/z         璁
5/zd   珍惜
50     廷
50        迋
50         五十
502      五十年
504f 現金買賣
508 頲
508 五十分
50b         玉鐲子
50e       璒
50e       五金行
50e         五十天
50e        王金平
50eu          璒
50h  頲
50h           五十肩
50h8            頲
50i0          廷杖
50jj       廷爭
50kd     現金交易
50o            現金咭
50pk  廷長
50r         現金項
50u        璒
51           瑞
51.        班
51.            王謝
511           玔
511 五言詩
5111 玔
514u  五講四美
514u3 五講四美三熱愛
515          班
519            理論上
51ag     理論依據
51aw       理論化學
51c8            瑞氣
51e            瑞誠街
51e1     五言律詩
51f  瑞士
51gw  理論哲學
51m       理論家
51m8          瑞典
51m;    瑞雲
51ml          瑞安
51mr     瑞雪
51p6         瑞聯
51qy          瑞兆
51tb           五言絕句
51u.    瑞芳
51vw          理論科學
51vz   瑞穗
51x        理論派
51yv/            五一勞動節
51z      理論性
52        璘
522     瑋
522ev      五年制專科學校
528  瓚
529     琁
529           珠生路
52b     琁
52b9        琁
52d9      王生明路
52ff    玩物喪志
52i   珠
52o           瑋
52o2       瑋
52q      瓚
52q        珗
52q8         瓚
52s      玝
52t     五年級
52ta 五年紀念
53       璿
53,   玩具狗
530p    碧眼金髮
533      琲
538        瓔
538 珼
538l 瓔
53c  玩具店
53em   理財專家
53i         玩具槍
53l       瓔
53n       珠三角
53q    現
53u 玩具業
53u4      丟三落四
53w        理則學
540           五點鐘
543   五四三
545f            現買現賣
549        環西路
54e            環
54e  五點正
54ek          環
54i           瑮
54k 環
54mv            五四運動
54nb    五點多了
54no         五點多吧
54v    玉蜀黍
54zh      玩票性質
55           玨
55.a   班次
55.jt    玩弄於股掌之上
55.m8       環球航空公司
55/      瑟
55/      璱
55/           斑竹
55/         玻璃管
55/d     斑白
55/h  斑鳩
550       珽
551           琵琶記
554     玻璃罩
554o       斑點
555           璱
555/ 璱
5553     玳瑁
5555           斑斑
5555           班班
556        班車
556     玻璃片
556         玻璃門
557            玻璃圈
557o     班固
559e           班上
55;i            斑蝶
55;x     斑蚊
55a   琴
55ab        琴
55ad         班會
55b         琴
55b        斑馬
55b,  班務
55bg         斑子
55bg  班子
55bx     斑駁
55c      琵
55c            琶
55c   琉璃廠
55c/            斑疹
55cc        琵
55ce      班底
55ck 斑痕
55do         班昭
55dv          玲瓏剔透
55e    瑜珈術
55e  琉璃瓦
55e3    瑕瑜互見
55e8  班頭
55ef       斑斑可考
55en          班列
55f            玻璃墊
55fo      班超
55h  琺瑯質
55h1        班師
55h1          琴瑟不調
55i            玻璃杯
55i     玻璃板
55i   玻璃棒
55i5    班機
55j  玻璃股
55k            玻璃市
55k.   玻璃市州
55k4            斑斕
55kf        班主
55ks  班禪
55m      琶
55m          玻璃窗
55m 玻璃體
55n        玫瑰色
55n  琥珀色
55nn       斑剝
55og   琵琶別抱
55on 班別
55ox        班史
55pk 班長
55q           珊瑚礁
55q     玻璃碗
55r      琶
55r5  玻璃彈珠
55rc 琶
55rh       琉球群島
55t         玻璃紙
55t  琉球鄉
55tk            玻璃絲襪
55tl            環球小姐
55tt  玻璃纖維
55tx            班級
55tx          斑紋
55u        玫瑰花
55u     玻璃瓶
55u 玻璃業
55ue   玻璃藝術
55vo       琴瑟和鳴
55x   珍珠港
55x  珊瑚潭
55x3   琳琅滿目
55xea    珍珠港事件
55z 瑟
55z/    瑟
56         琿
56.           璷
56.x  璷
560   璉
561           王牌
5658     班門弄斧
565x     瓊漿玉液
566  玉門關
56e           玉門街
56x    璷
57.  王母
575 王國
575x     珠圓玉潤
577          瓃
577    環圈圖
5777        瓃
57bt         珠圍翠繞
57e          玉田街
57ll   王母娘娘
57v     珚
58     璨
58/ 珶
580      五分鐘
581       瑣言
582            璘
584         璔
584d            璔
5858         瑣瑣
586p         瑣聞
587 玉米田
58;          王公
58b  王八蛋
58b,         瑣務
58d   璔
58ej           瑣事
58hj       瑣屑
58mv     球類運動
58n        璘
58n         玢
58n2           璘
58oa    王公貴人
58p         王爺
58qs       瑣碎
58r 珶
58r/      珶
58t7 瑣細
58u       玉米花
58ub 王八羔子
58x         王父
58x 玉米湯
59  珿
593        璿
5955        璇璣
598            璨
599   瑞北路
59c         玼
59e   琡
59e        瑞北街
59ex   琡
59m  璿
59m3  璿
59mo    璇宮
59n     璨
59n8        璨
59o         玷
59o     璐
59o     五路
59x         琡
59x   璐
59x            王貞治
59xo           璐
5;    丟
5;.l           瑰姿
5;2v     丟失
5;5k        琺琅
5;6u       丟開
5;78 瑰異
5;a     丟人
5;a0     丟進
5;e9  丟下
5;ec        瑰麗
5;en        丟到
5;g         丟手
5;gs      丟掉
5;ja 丟臉
5;ki           丟棄
5;m        瑀
5;m8   瑰寶
5;o     珆
5;sf          丟在
5;vj         瑰奇
5;w            五台山
5;ws         瑰岸
5a.           玲
5a/       珍
5a0    璡
5a1      玠
5a1   現代詩
5a1  現代語
5a11            玠
5a4  璯
5a4    環保署
5a4d       璯
5a4p       環保署長
5a5    玳
5a53        丟人現眼
5a5w      現進現出
5a6i      王侯將相
5a6im        王侯將相，寧有種乎
5a7o           珍禽異獸
5aa            現代化
5aa    現代人
5aa            五個人
5aao   環保人員
5ab    玲
5ab          琀
5ab.         玲
5abo       琀
5ac  王化
5ad         璯
5ad        王儲
5ae          玳
5ae  瑜伽術
5ae5         玳
5af     班代表
5ah          環保局
5ah         現代感
5ahs       弄假成真
5ai9   碧仙桃路
5aia          環保概念
5aia6        環保概念車
5aj           瑜
5aj           五個月
5ajb      五個月了
5aje  五個月後
5ajn           瑜
5ak       璡
5ak      王位
5ak0  璡
5aku          現代主義
5akw 現代文學
5am            五個字
5amt      五代同堂
5amv      環保運動
5an      瑜
5ao            珨
5ao    瑲
5ao           琀
5ao     珠飾品
5ao      現代史
5ap    王命
5ar           瑲
5aro           瑲
5as7        五代十國
5auea  現代美術館
5av           王侯
5ax      現代派
5ax1   現代漢語
5ax11          現代漢語詞典
5b           瑪
5b,    璚
5b,i       琴架
5b,o    璚
5b.   玓
5b/         璆
5b00      琴鍵
5b0v   五子登科
5b1d            琴譜
5b1o         琴調
5b5/            琴瑟
5b5x       瑪瑙
5b8h  五馬分屍
5ba       弄了個
5bb 珝
5bb        璻
5bb         璆
5bb/           璆
5bbs  璻
5bc      玸
5bd   珣
5bec   瑪麗
5bfp       琴聲
5bg          王子
5bgx 琴技
5bh1           琴師
5bi 五子棋
5bk8     琴韻
5bkd   琴音
5bm, 瑪家
5bo         璚
5bpk 斑駁陸離
5br          玸
5brc           玸
5brd            琴書
5brt           琴弦
5bs  璻
5bt        王孫
5bt         斑馬線
5bu;          琴藝
5bun        瑪莉
5bx8    琴酒
5c    琵
5c,       璩
5c.            瓛
5c.   王府
5c0 五比零
5c5c 琵琶
5ca          五頓飯
5caa   弄虛作假
5cc     玭
5cc    瑎
5ccd         瑎
5cd          瑎
5ce        瓛
5ce          璩
5ce,          璩
5ce      五廊街
5ce.           瓛
5cf 王座
5cij        環氧樹脂
5cm6      五度空間
5co 瑭
5cq          琥
5cr       瑭
5cro       瑭
5cx     玻
5d     珀
5d.    五星旗
5d.         五日遊
5d/        瑒
5d0            玉里鎮
5d0s 玉昆金友
5d1  珅
5d1       玾
5d19           五甲一路
5d2 瑆
5d29            五甲二路
5d2e           瑆
5d3   瑁
5d39     五甲三路
5dc    琨
5dcc     琨
5dd           琩
5de            瑆
5de  瑒
5de     瑞明街
5de/         瑒
5df     理
5dh           瑒
5dk  璟
5dk       琝
5dko      玉里高中
5dkq 五日京兆
5dkt 璟
5dkto        玉里高級中學
5dkx     琝
5dm 五里霧
5dmo       五里霧中
5dq         王冕
5dr     王昭君
5dt  璟
5dt  五星級
5dx  琝
5e          珊
5e,    琢
5e,      現行犯
5e,.     琢
5e.          球
5e.      琢
5e.         瑼
5e1           玶
5e2       珸
5e2o 珸
5e2s         五行生剋
5e5         琖
5e55   琖
5e7 理事國
5e9       瑽
5ea   瑽
5ea    理事會
5ea9       瑽
5eac       環亞飯店
5ec   玩
5ed    瑼
5ed.       瑼
5ee     玩
5ee  珩
5ee    瑪麗亞
5ee         理平頭
5ee    瑞雲街
5eej            珩
5eeq   玩
5eg    玗
5eh           玩
5ej     珂
5ej      珩
5ej   玎
5ej         五街
5ej            王事
5eje  丟到腦後
5em         琢
5ema            現役軍人
5eo         珂
5eo         珸
5eoj      珂
5ep   理事長
5ep       理頭髮
5eq            玩
5erk       玉井工商
5eruk      玉井工業商業職業學校
5es            玕
5et          玉井鄉
5eu   玶
5eu1           玶
5euum          瑪麗蓮夢露
5evac        環亞大飯店
5evx         玉殞香消
5ex    球
5ex    王政
5ex    現行法
5ex.           球
5f           理
5f 玤
5f,  璈
5f,x   璈
5f.            璈
5f.1o       環境資訊中心
5f.m           瑞士航空
5f/   環境系
5f0e    瑞士銀行
5f0x            理發
5f1a        理該
5f1d        環境變量
5f1d   環境變數
5f1u    理論
5f2d        理智
5f2u  理短
5f3/        理財
5f3i 理睬
5f3n  理則
5f3o           理賠
5f5            王老五
5f58  璀璨
5f59e   五穀王北街
5f5f       璀璀
5f5s      珪璋
5f5se   五穀王南街
5f7o    瑞豐國中
5f7ro 瑞豐國民中學
5f7s  理由
5f9      班超路
5f9o           理路
5fa     瑞士人
5fa1   環境保護
5fa10        瑞士信託銀行
5fa14            環境保護署
5fac           理化
5fad        理會
5faz      理念
5fb       瓙
5fb        王考
5fb         弄壞了
5fby        瓙
5fcb 理虧
5fcz            理應
5fd   王者
5fe.            理專
5fe2         環境衛生
5fe8        理頭
5fej          理事
5fex         理致
5ff 珪
5ff0 五穀豐登
5ffu    現場報導
5ffx          理教
5ffx      現場表演
5fh  現場感
5fhw   理屈
5fiz            理想
5fk8          五穀雜糧
5fm,   理家
5fn2            理解
5fo        環境中
5fon         理喻
5fr           理工
5frv 環境工程
5frvw   環境工程學系
5ft7 理當
5fuj 環堵蕭然
5fvs  理科
5fvw/       環境科學系
5fwg  理學
5fww      理出
5fx      璈
5fx.  瑞士法郎
5fx;       理法
5fxx   環境污染
5fxxc          環境清潔處
5fy   瓙
5fze 理性
5g. 球
5gw       五指山
5gy          球
5h          鳿
5h.e          環島旅行
5h1 瑂
5h1 王師
5h13   瑂
5h3   頊
5h3     瑂
5h38    頊
5h4m          環顧四周
5h5          瑊
5h5m       現不現實
5h7s            班師回朝
5h8          頊
5h9 瑞屏路
5h9           五原路
5he         瑕
5he            玉成街
5he      玉屏街
5he        五成街
5he       五原街
5hej        班師得勝
5hex  瑕
5hg5        瑕不掩瑜
5hg5   瑜不掩瑕
5hgt  玉不掩光，珠不掩輝
5hjm           理屈辭窮
5hlte     五百姻緣天注定
5ho    琚
5ho        瑊
5ho     王后
5ho5  瑊
5hpe    玉成其事
5hs            琚
5hso   琚
5hta         球面幾何
5htj  理所當然
5hx           瑕
5hx       五段
5hxi       弄不清楚
5hz            弄不懂
5hzj      理所必然
5i 珠
5i/u        珠算
5i19      五權一路
5i1e   五權一街
5i1e 瑞東一街
5i29    五權二路
5i2e           五權二街
5i2e    瑞東二街
5i3     王相
5i39        五權三路
5i3e       五權三街
5i40           珠還
5i41e       五權西一街
5i42e           五權西二街
5i43e         五權西三街
5i44e   五權西四街
5i45e          五權西五街
5i46e    五權西六街
5i4e    五權四街
5i5.     珠玉
5i55           珠璣
5i59 五權五路
5i5e           五權五街
5i5k         琳琅
5i5m            瓊樓玉宇
5i5u            瓊枝玉葉
5i69   五權六路
5i6e      五權六街
5i7  理想國
5i7.         珠母
5i79 五權七路
5i7e     五權七街
5i89          五權八路
5i8e   五權八街
5i8k    五權分立
5i9            五權路
5i9     瓊林路
5i99     五權九路
5i99   瓊林北路
5ia  理想化
5ia1            珠飾
5ibg    珠子
5icb     王楊盧駱
5ie     五權街
5if            王權
5ii     琳
5ijo            珠胎
5iku            理想主義
5ikuf    理想主義者
5il          五樓
5im   瓊林宴
5im1     珠簾
5im8    珠寶
5imx    五權憲法
5io            理想中
5irq          玉樹臨風
5irr          琴棋書畫
5is9     五權南路
5is9   瓊林南路
5iwf       珠峰
5iwq   珠兒
5ix.    珠淚
5ix.            珠海
5ixr     珠江
5j     玥
5j/          五月節
5j2           瑤
5j2w        瑤
5j6j   五臟六腑
5j6j        五臟六肺
5j7  璠
5jaa          五臟俱全
5jb 琈
5jbg      琈
5jc            五臟府
5jc   五月底
5jdt     珠胎暗結
5je           瑗
5je   珇
5je            五月後
5jex      瑗
5jg       琈
5ji     璠
5ji7   璠
5jj    琤
5jk          五月初
5jm       璦
5jmx    璦
5jo           五月中
5jr          琤
5jrj         琤
5jsc    環肥燕瘦
5jt 五股鄉
5jtt    五彩繽紛
5ju   五月前
5ju      五月花
5jw        瑤
5jx  璦
5jx     瑗
5k           環
5k.0      環遊
5k/p      環節
5k0       瓋
5k19     五福一路
5k1e       五福一街
5k29         五福二路
5k39            五福三路
5k49    五福四路
5k5            斑
5k5.      環球
5k5/      琅玡
5k5/  弄神弄鬼
5k57         琅璫
5k5k          琅琅
5k5s         琅玕
5k6.           環狀
5k6n   五顏六色
5k7o    五福國中
5k7o            瑞祥國中
5k7ro         五福國民中學
5k7ro    瑞祥國民中學
5k8     珓
5k8   璾
5k8          瓋
5k80        瓋
5k8p      璾
5k8x       珓
5k9 瑞福路
5k9     瑞褔路
5k9   五福路
5k;    琉
5k;  璃
5k;       珫
5k;q        琉
5k;q   珫
5ka6           丟卒保車
5kai  環保
5kao   環伺
5kd     璋
5kds        璋
5ke/  環形
5ken   環列
5kf     王祥
5kf/   環場
5kfd 環堵
5kfq     環境
5kgc        環抱
5kh8       環顧
5kha   五音不全
5khw    環島
5kj   瓏
5kjx      瓏
5kk            瓖
5kkq         環視
5ko 琣
5ko  瓖
5ko           琼
5kok         瓖
5koo        班禪喇嘛
5kot      琼
5kp      璾
5kq       琉
5kq        珫
5kr6        五福臨門
5krx       環攻
5ks 璋
5ks1      環帶
5kt  琼
5kt           玹
5ktj          理之當然
5ktq     環繞
5ku0         環道
5kv   琉
5kw   環山
5kw   玩意兒
5kx 玟
5kx          珓
5kx     瓏
5kx        璃
5kx.         環海
5kx5            斑
5kx;    璃
5kxj     環河
5kxq    環流
5l      瓔
5l/          瑙
5l/x 瑙
5lc            王妃
5ld            璅
5ldi  璅
5le    五妃街
5li   璅
5lk           瑙
5lkf            瑯嬛福地
5ln          瑙
5lw   瑙
5lx      瑙
5m.         王冠
5m/    瑏
5m0       璭
5m1 瓀
5m1            五字詞
5m1e   瑞岡一街
5m2e      瑞岡二街
5m3e  瑞岡三街
5m6        琿
5m6           璭
5m60  璭
5m8     琛
5m8    琠
5m8 瑢
5m8 璸
5m8/          瑏
5m8i      琛
5m8o            瑢
5ma         珠寶盒
5ma     瑞典人
5ma      王守仁
5mc       琬
5mc   珠寶店
5me        珊
5me          琮
5me            瑄
5me       璸
5me   珠寶行
5me        瑞安街
5me        瑞岡街
5me8   璸
5mee            瑄
5met 琮
5mf  琱
5mf     珃
5mf          王室
5mfo           琱
5mgf       五體投地
5mh      琯
5mh       瓀
5mh 珠寶展
5mh      理容師
5mh1          瓀
5mhr      琯
5mhr    珠寶展覽
5mi          琛
5mip 玉體橫陳
5mk    玬
5mke           五官端正
5mku          現實主義
5mku            現實意義
5mkuf        現實主義者
5ml  王安
5mli   五內如焚
5mm 珊
5mm       五週內
5mmj8        王安電腦公司
5mn            琬
5mnc       琬
5mo           琱
5mo       瑢
5mo          王宮
5mq   王安石
5mr          琯
5ms          琠
5ms8  琠
5mt     琮
5mt          瑪家鄉
5mu           珊
5mx        現實派
5mxc            瑪家水庫
5mz          現實性
5n    琍
5n,    瑑
5n,   理解力
5n0 玖
5n4 瓊
5n5o 瑜珈
5nao         瑜伽
5ne          五角形
5nm        瓊
5nm 瑍
5nmv          瑍
5nmx         瓊
5no            玿
5nv       瑍
5nvc            五角大廈
5nx       瓊
5nx      琭
5o           噩
5o5         珵
5o5o     噩噩
5oh.     玷辱
5oi           璪
5oi9      環中東路
5oi91           環中東路一段
5oi92       環中東路二段
5oj      琄
5om      五號字
5om0    噩運
5oo      噩
5oo       璪
5ooi       璪
5ooo       噩
5oq         五號
5oun         噩夢
5ovc   噩耗
5oxb   玷污
5p 瑯
5p       珥
5p.m     瑞聯航空
5p1x       現身說法
5p8            琪
5pc          理髮店
5pc            理髮廳
5pd           王陽明
5pdd       理甚易明
5ph            現階段
5ph        理髮師
5pha 珠聯璧合
5pi9 瑞隆東路
5pp  理髮院
5q       碧
5q/a  玩笑
5q/i  玩樂
5q/u     碧血
5q0         現金
5q0/   現鈔
5q05  現錢
5q1       珮
5q2/        玩物
5q22 現年
5q38       玩具
5q3k        現眼
5q3k     碧眼
5q4t          玩票
5q5.        碧玉
5q5.  琉球
5q5;  琉璃
5q5d      琥珀
5q5q     玩玩
5q5u           玩弄
5q5w  碧瑤
5q6.        現將
5q6.           現狀
5q61   玩牌
5qa3            現值
5qa5   現代
5qa5   現任
5qa8        現貨
5qa;        玩偶
5qab           現今
5qai  玉石俱焚
5qap         玩命
5qas   玩伴
5qb      王碼
5qbz          玩忽
5qd.       現時
5qe           珮
5qe.            碧瓦
5qe. 玩得
5qe/  現形
5qe1   珮
5qe9   現下
5qej           現可
5qej       現行
5qex     現役
5qf,          現勢
5qf/      現場
5qfa 現款
5qfc            玩起
5qfd     玩者
5qg          琉手
5qh.       玩厭
5qh0      玩遍
5qh5          現成
5qhl     玩耍
5qkz           玩意
5qm,            玩家
5qm0     玩過
5qm8 現實
5qmf  現用
5qmj          碧霄
5qmo        現露
5qmq      玩完
5qmr            碧空
5qn,          現象
5qnc     碧色
5qoi       玩味
5qp 現身
5qp5    現職
5qrc           現已
5qsf          現在
5qsg       現存
5qsj 現有
5qsl   現世
5qsl          玩世
5qt8       玩賞
5qtx       碧綠
5qu;        玩藝
5qud       玩著
5quo           碧落
5qus   碧草
5quu         碧藍
5qw      碧山
5qw8       玩興
5qww          現出
5qx  碧水
5qx.        碧海
5qx;          玩法
5qxq        現況
5qxr           碧江
5qxs        碧潭
5qxv     現漢
5qxx    碧波
5qy      珧
5qy      玩火
5qz    玩心
5r       琯
5r           玒
5r,         王功
5r.     璕
5r/         珺
5r/          玡
5r/o       珺
5r1     珋
5r1 璶
5r19     環區一路
5r1p  珋
5r1u      璶
5r29   環區二路
5r39      環區三路
5r49            環區四路
5r9          五工路
5ra       玦
5re      理監事
5rf      珒
5rhg          弄巧成拙
5rj            琊
5rj   玡
5rj/           玡
5rjp            琊
5ro            珺
5rp       琊
5rp 珋
5rr         璕
5rr  王建民
5rr.   璕
5ru   璶
5rv 理工科
5rvw           理工大學
5rwp     理工學院
5ry     王建煊
5s          璋
5s,            王勃
5s1          珔
5s12   五十一年
5s1g          珔
5s22  五十二年
5s2a     五十年代
5s2ae        五十年代末
5s2ae     五十年代末期
5s2ae  五十年代後期
5s2ak          五十年代初
5s2ak   五十年代初期
5s2ao         五十年代中
5s2ao    五十年代中期
5s2d           丟盔卸甲
5s3    瑱
5s32 五十三年
5s38            瑱
5s42  五十四年
5s52   五十五年
5s62            五十六年
5s7   璜
5s72 五十七年
5s8 璜
5s8  瑱
5s8    珙
5s82    五十八年
5s9/h            五十步笑百步
5s92  五十九年
5sa     璊
5sbs 現在也有
5sc6          理直氣壯
5se      璜
5se   玵
5se8   璜
5sf      瑾
5sf           現世報
5sg  珔
5shs     玩世不恭
5sj 瑚
5sj            珛
5sj  王朝
5sju          五胡亂華
5sl       玴
5sla3      現在如今眼目下
5sm       璊
5sma     璊
5smt     五世同堂
5so       瑚
5so    瑾
5sof      瑾
5soj    瑚
5spd  五世其昌
5ss67  五胡十六國
5t        璟
5t1            五線譜
5t3           瑣
5t38    瑣
5t5 璣
5t5        王畿
5t7            璫
5t7o            五常國中
5t7ro  五常國民中學
5t8 瑣
5te  珖
5te         五常街
5teq          珖
5tf  王維
5th            珖
5tm      璫
5tm7         璫
5tmc      珠光寶氣
5tq        珖
5tsn          五光十色
5tt   璣
5tt   五結鄉
5tt5       璣
5tv      玉堂春
5u     弄
5u,           璲
5u,0       璲
5u.        王莽
5u.l            弄姿
5u/f           弄筆
5u0     璲
5u0            王道
5u0            瑞芳鎮
5u0d 弄錯
5u5j 珊瑚
5u5s            弄璋
5u5u            琪花瑤草
5u6      珍藏版
5u86   五花八門
5ua     瑹
5ua 瓁
5ua            弄人
5uai       瑹
5uan    弄倒
5uax           瓁
5ub 璥
5ubx   璥
5ue         五華街
5ue       五義街
5ue. 弄瓦
5ue.    弄得
5uec     弄死
5uen        弄到
5uf          珜
5uf            瑳
5uf         瓂
5uf          瓘
5uf9      弄走
5ufk           弄壞
5ufr        瑳
5ufu          瓂
5uh5       弄成
5ui            瑹
5ui         王業
5uia 弄來
5uif           弄權
5uj           瑐
5uj          弄月
5uj         五花腩
5ujb         弄翻
5ujc          弄亂
5ujl           弄妥
5ujn   瑐
5uk    王羲之
5ukr     瑞芳高工
5uktr    瑞芳高級工業職業學校
5ula           碧藍如黛
5ulg          弄好
5ulu          碧草如茵
5um          瑛
5umu           弄髒
5umv          瑛
5un 瑐
5uo      瓘
5uof      瓘
5upa         弄險
5ur     瑳
5us/         碧落黃泉
5usx   弄散
5ut1          弄斷
5utf           弄堂
5uu     璞
5uu            瓂
5uu       玉蘭花
5uus  班荊道故
5uuv        璞
5uv 瑛
5uv            璞
5uvt     五花大綁
5uww        弄出
5ux        璥
5ux       瓁
5uxj  弄清
5uxj          弄潮
5v     璞
5v/     琇
5v/b       琇
5v2a      珍重生命
5v5      珴
5v5.           璞玉
5v8            五香粉
5v9 瓊泰路
5vb      琇
5ve   琦
5ve      瑪利亞
5vej           琦
5vf    琫
5vg  珴
5vg5          珴
5vj       琦
5vk     王夫之
5vn            琍
5vt          瑞穗鄉
5vte         玻利維亞
5vtes          玻利維亞共和國
5vv     瑧
5vx            五大洋
5vx            五大洲
5w           瑤
5w0e           玉山銀行
5w1       瑞
5w5m  現學現用
5w76    瑤圃
5w7m8 玉山國家公園
5w8           璵
5w89           珠峰公路
5w9            玉山路
5w9            碧山路
5w9 環山路
5w;o         瑤台
5wa     璀
5wa      瓗
5wa   琌
5wab  琌
5waf    璀
5wao        瓗
5wb      琌
5we           璵
5we 玉山街
5we    玉峰街
5we         玉豐街
5we       瑞豐街
5we8           璵
5wf   璀
5wg        王學
5wh           瑞
5wh1      瑞
5whe   現出原形
5wm   理學家
5wo     瓗
5wp     理學院
5wt          五峰鄉
5wuf           瑤華
5wxc         瑤池
5x  玫
5x.     瑵
5x.;            瑵
5x.l    瓊姿
5x.x      玉潔冰清
5x1   琋
5x3nx           珠江三角洲
5x48k           五又四分之一吋
5x491     環河西路一段
5x492 環河西路二段
5x4x  五湖四海
5x5.        瓏玲
5x56     璦琿
5x56 玉液瓊漿
5x57   玉潤珠圓
5x5;     玫瑰
5x5;      玻璃
5x5o      瑕玷
5x5w         瓊瑤
5x6x            瓊漿
5x9      瑞源路
5x9        碧潭路
5x9           環河路
5x99  環河北路
5x991            環河北路一段
5x992           環河北路二段
5x993 環河北路三段
5x;    琺
5x;            瑵
5x;         王法
5xao       瓊僑
5xcc   瑕疵
5xci           瓊麻
5xf         琺
5xf;      琺
5xfe        碧海青天
5xfo   瑕垢
5xi  弄清楚
5xi9         環河東路
5xkk            珠海高商
5xkp        珠海商職
5xkup   珠海商業職業學校
5xo    珞
5xp1         瓊斯
5xs         琋
5xs1       琋
5xs9           環河南路
5xs91 環河南路一段
5xs92         環河南路二段
5xs93        環河南路三段
5xw      弄潮兒
5xwn        瑕釁
5xy.         瓊瑩
5y/i       玩火自焚
5yq       珧
5yy          琰
5z/        珌
5z/    理性的
5zaj           琴心劍膽
5ztc        弄性尚氣
6           車
6      門
6          片
6          鬥
6       甫
6 爿
6    丱
6,b       車駕
6,u  將狂歡
6.       轉
6.           閍
6. 輈
6..        閼
6...        將於
6..y        將為
6..y 轉為
6./o 將向
6./o       轉向
6./t    開放系統
6.0x       轉發
6.1b 轉彎
6.1k    將讓
6.1k          轉讓
6.1o    轉調
6.1s    轉譯
6.1x      轉變
6.2o           轉告
6.32      轉瞬
6.3k 轉眼
6.3o            轉貼
6.4l          將要
6.6         將門
6.6u  轉開
6.6x 轉轍
6.7k   轉圜
6.7o         轉回
6.7o         將略
6.7s         將由
6.8  車資
6.9j      轉背
6.;a       將以
6.;c         將能
6.;o  轉台
6.;z    狀態
6.a  閼
6.a        轉入
6.a.            閼
6.a.          將令
6.a0          轉進
6.a5     轉任
6.a8    將領
6.ac      將他
6.ac         轉化
6.ad 將會
6.ad   轉借
6.an        轉側
6.ao          轉售
6.at       將你
6.ax  將使
6.az        將您
6.az        轉念
6.bc      轉包
6.bg         狀子
6.bp     將那
6.cc     將比
6.d9        將是
6.e    開放式
6.e/     開放政策
6.e8    轉頭
6.e9      將從
6.ef 將再
6.ef    將至
6.ef 轉型
6.ef     轉往
6.ej          將可
6.en  轉到
6.eq    狀元
6.f            將士
6.f/       轉場
6.f0  將達
6.f0           轉達
6.f5    轉載
6.f8    轉賣
6.fw            轉趨
6.g   轉手
6.g/            將才
6.g1      轉折
6.g7 轉播
6.g9        將提
6.ga           將掀
6.gl 轉接
6.gv            轉換
6.h0          將近
6.h1     將帥
6.h5   轉成
6.h8         將兵
6.h9  將不
6.hw           將屆
6.i/ 將材
6.i0   轉述
6.i0           轉速
6.i3     將相
6.i5            轉機
6.ia            將來
6.ix       將校
6.ix          轉校
6.jq    狀貌
6.jy     闃然
6.k           閬
6.k          將之
6.k.         將就
6.k8         轉韻
6.kx         將被
6.kx    轉交
6.kx     轉文
6.l,  轉嫁
6.lc  將她
6.lg  轉好
6.lo   將如
6.m0          轉運
6.m0            轉過
6.m6     將軍
6.m8         轉典
6.mc        將它
6.mj            轉寄
6.mk           轉帳
6.mr            將官
6.n         轉角
6.o    車船
6.o 轉口
6.o5            轉戰
6.o5          轉呈
6.p  轉身
6.p5   轉職
6.p8      將其
6.qb     轉碼
6.r          閬
6.r5           閼氏
6.rk      閬
6.rp  轉印
6.sf       將在
6.sg        轉存
6.sj            將有
6.sl         轉世
6.t5        狀紙
6.u.       將對
6.u0       轉送
6.u0      轉道
6.ui           轉業
6.v,      轉動
6.v5   將我
6.ve   轉租
6.vn          轉移
6.vo 將和
6.wg           轉學
6.ww  轉出
6.x   敷
6.xf 轉注
6.xm      轉漏
6.xq       狀況
6.xv      輕於鴻毛
6.z   開放性
6/     閉
6/     甫
6//   門第
6/0         車篷
6/08       閉鎖
6/1    牌
6/1     鬧笑話
6/1b          鬧笑話了
6/3    闑
6/3  車箱
6/3    閉目
6/3i   闑
6/3k  閉眼
6/6  閉門
6/66         閉關
6/76 連篇累牘
6/9e  閉上
6/9o       閉路
6/ad    閉會
6/ao       閉合
6/c       軌
6/c   關節痛
6/c8    閉氣
6/d           牌
6/d    轢
6/d           問答題
